chunk_id,question,top_k_recall,top_1_precision,rank,similarity_score,found,chunking_strategy,token_count
f6791ca1-0a68-442f-87a4-99d024ed9972,What does Rikki-tikki do when he first encounters Nag in the garden?,1,0,2.0,0.620424124661705,True,semantic,968
af227ae7-9ea9-4376-8a75-f89a9ddb1ff0,"What did Rikki-tikki do when he heard the tiny voice saying, ""Be careful. I am Death!""?",1,0,2.0,0.5802111625671387,True,semantic,930
f0759aae-9d28-401a-8d02-48d82aa0e529,What did Nagaina say to Nag about the big man who killed Karait?,1,0,3.0,0.4521666467189821,True,semantic,1024
4bc5e41f-6284-4c71-9c82-1b97d3f67b3a,What happened to Nag after Rikki-tikki attacked him?,1,1,1.0,0.6685105761441834,True,semantic,962
fbd90700-76d9-497c-82c4-06704751c745,How many eggs did Rikki-tikki find in the melon patch?,1,0,2.0,0.5008032323845067,True,semantic,1013
ead5c907-d7bd-48a6-b1ff-45b96dea9a02,What did Nagaina say she would do if Rikki-tikki gave her the last egg?,1,1,1.0,0.6360913460418054,True,semantic,982
cb3353b1-5ed2-4dad-9a95-aeecd203528a,What did Rikki-tikki plan to tell the Coppersmith after he defeated Nagaina?,1,1,1.0,0.6126167870849254,True,semantic,958
917182e3-4d8e-463c-8d17-76269a43ac3b,What are the notable characteristics of Rikki-tikki-tavi mentioned in Darzee's chant?,1,1,1.0,0.7140833522652736,True,semantic,229
ecdd0d47-002a-4cba-83a4-5b55ae11b26b,What was Kala Nag's age when he was caught and how long had he served the Indian Government by the time of the narrative?,1,1,1.0,0.5217707131182334,True,semantic,897
7771d142-59b6-40da-a75a-5bd4157df5dc,What does Little Toomai imagine will happen to Kala Nag when he becomes old?,1,1,1.0,0.5681154043777651,True,semantic,857
7c70cc2c-875a-4698-b399-567e49d97c5e,What did Little Toomai do one night that got him scolded by Big Toomai?,1,1,1.0,0.49386244975700677,True,semantic,766
bafe95bc-3ce9-4304-a63b-31719d59d37e,What did Little Toomai do during the last drive in the Keddah that caught Petersen Sahib's attention?,1,1,1.0,0.5376350168259478,True,semantic,1002
b73aea1e-443d-42b1-b526-95df7f1fb0e6,What did Petersen Sahib say would be the proper time for Little Toomai to go into the Keddahs?,1,0,4.0,0.416161830377034,True,semantic,1005
9ff66c72-6b0d-4ec7-bc2b-51ab9f2e55e2,What did Little Toomai do with the tom-tom that made him happy?,1,1,1.0,0.4735516325502622,True,semantic,948
4d453b48-0230-46d8-992c-4027535069b1,What did Little Toomai hear that indicated other elephants were nearby while he was with Kala Nag?,1,0,3.0,0.620744842909123,True,semantic,1023
cfb160e9-ac1e-47e8-80b2-d7baca7081c0,What did Little Toomai see in the clearing that indicated many elephants had been there recently?,1,0,2.0,0.603404175626486,True,semantic,957
6816d47a-2747-45a9-bb66-1b161ef9595c,What did Little Toomai realize had happened to the clearing after the elephants finished their stamping?,1,1,1.0,0.661590180017924,True,semantic,985
2b8a3316-e217-4c66-9e23-eafb0c3f8e8d,"What did Little Toomai claim to have seen that made him so excited, and how did he prove it?",1,0,3.0,0.4406769669661197,True,semantic,826
21308825-9dfa-4b3c-a85b-080c2b245645,What new name was given to Little Toomai by Machua Appa?,1,1,1.0,0.560126004245342,True,semantic,525
47264ee6-89fc-4a48-9ad8-8ee735340e7d,What did Parbati hide in her breast to trick Shiv?,1,1,1.0,0.5034705550512839,True,semantic,405
3a748c5d-4df9-4731-ad94-4b68fa063a8f,What did the mule say to the camel after the camel disturbed the camp?,1,1,1.0,0.6038127417787664,True,semantic,1018
9ea2e1f7-54ff-4bff-8d8b-886c4826e241,What did the young mule see that made him frightened and run away?,1,0,3.0,0.4919505109727992,True,semantic,1000
b7f03421-c318-4c53-8aae-fefb80c9a7b7,"What does the troop-horse mean by being ""bridle-wise""?",1,1,1.0,0.516394930540762,True,semantic,895
657f946c-16da-45a8-835c-f90dea58a1d4,What do the two yoke of bullocks say is the proper way to fight?,1,1,1.0,0.5074298968994776,True,semantic,981
dfa885d6-aa20-42e9-b20e-5b14982d950f,What did Two Tails say his battery captain called him?,1,1,1.0,0.4449879196279001,True,semantic,1005
621febd5-97e7-4f99-a5a8-5015cfc311b3,What did the bullocks say about the red stuff that soaks into the ground?,1,0,2.0,0.40303073579622617,True,semantic,1010
a7225a57-e72e-4ec4-a066-e8304a12d04b,What does Vixen say about the color of the bullock-driver who looks after her?,1,1,1.0,0.4115510337620423,True,semantic,889
de71aa44-c7b0-49bc-81eb-e63c5ae8a155,What did the old Central Asian chief ask the native officer about the animals in the parade?,1,1,1.0,0.5146811893772453,True,semantic,919
58edc17e-212e-4af3-be48-375d32bb76c3,What do the Commissariat Camels use as their marching-song?,1,1,1.0,0.6048057314869336,True,semantic,592
